Pose,Real_Class,Docking_score
CHEMBL1079617_size_20_001,Inactive,-4.2
CHEMBL1079618_size_20_001,Inactive,-6.8
CHEMBL1079618_size_20_002,Inactive,-4.2
CHEMBL1079646_size_20_001,Inactive,-6.6
CHEMBL1079646_size_20_002,Inactive,-5.1
CHEMBL1079668_size_20_001,Inactive,-6.7
CHEMBL1079668_size_20_002,Inactive,-4.1
CHEMBL1079669_size_20_001,Inactive,-4.8
CHEMBL1079669_size_20_002,Inactive,-4.4
CHEMBL1079677_size_20_001,Inactive,-5.8
CHEMBL1079739_size_20_001,Inactive,-7.7
CHEMBL1079739_size_20_002,Inactive,-5.6
CHEMBL1079765_size_20_001,Inactive,-9.2
CHEMBL1079765_size_20_002,Inactive,-8.2
CHEMBL1079821_size_20_001,Inactive,-7.8
CHEMBL1079821_size_20_002,Inactive,-6.5
CHEMBL1079821_size_20_003,Inactive,-5.2
CHEMBL1079821_size_20_004,Inactive,-4.8
CHEMBL1079826_size_20_001,Inactive,-5.9
CHEMBL1079826_size_20_002,Inactive,-4.9
CHEMBL107991_size_20_001,Inactive,214.2
CHEMBL1079910_size_20_001,Inactive,-4.2
CHEMBL1079910_size_20_002,Inactive,-8
CHEMBL1079910_size_20_003,Inactive,-7.9
CHEMBL1079910_size_20_004,Inactive,-7.8
CHEMBL1079911_size_20_001,Inactive,-7
CHEMBL1079911_size_20_002,Inactive,-6.8
CHEMBL1079925_size_20_001,Inactive,-4.9
CHEMBL1079944_size_20_001,Inactive,-7.4
CHEMBL1079944_size_20_002,Inactive,-6.3
CHEMBL1079965_size_20_001,Inactive,-1.7
CHEMBL1079965_size_20_002,Inactive,1
CHEMBL1079981_size_20_001,Inactive,-5.4
CHEMBL1079981_size_20_002,Inactive,-2.7
CHEMBL1079982_size_20_001,Inactive,-5.1
CHEMBL1079982_size_20_002,Inactive,-4.5
CHEMBL1079983_size_20_001,Inactive,-5.3
CHEMBL1079984_size_20_001,Inactive,-3.8
CHEMBL1080013_size_20_001,Inactive,-6.3
CHEMBL1080013_size_20_002,Inactive,-5.9
CHEMBL1080013_size_20_003,Inactive,-5.7
CHEMBL1080013_size_20_004,Inactive,-3.5
CHEMBL1080013_size_20_005,Inactive,-3.4
CHEMBL1080025_size_20_001,Inactive,-8.4
CHEMBL1080025_size_20_002,Inactive,-8.1
CHEMBL1080025_size_20_003,Inactive,-5.9
CHEMBL1080026_size_20_001,Inactive,-5.5
CHEMBL1080026_size_20_002,Inactive,-5.3
CHEMBL1080026_size_20_003,Inactive,-5.2
CHEMBL1080032_size_20_001,Inactive,-5.6
CHEMBL1080032_size_20_002,Inactive,-3.7
CHEMBL1080033_size_20_001,Inactive,-6.5
CHEMBL1080033_size_20_002,Inactive,-4.7
CHEMBL1080108_size_20_001,Inactive,-2.4
CHEMBL1080108_size_20_002,Inactive,-0.6
CHEMBL1080140_size_20_001,Inactive,-7.2
CHEMBL1080140_size_20_002,Inactive,-7.1
CHEMBL1080143_size_20_001,Inactive,-5.7
CHEMBL1080168_size_20_001,Inactive,-5.8
CHEMBL1080168_size_20_002,Inactive,-3.8
CHEMBL1080172_size_20_001,Inactive,-0.4
CHEMBL1080173_size_20_001,Inactive,-10.1
CHEMBL1080173_size_20_002,Inactive,-9.7
CHEMBL1080173_size_20_003,Inactive,-7.8
CHEMBL1080184_size_20_001,Inactive,-5.8
CHEMBL1080184_size_20_002,Inactive,-3.1
CHEMBL1080187_size_20_001,Inactive,-4.3
CHEMBL1080188_size_20_001,Inactive,-4.3
CHEMBL1080312_size_20_001,Inactive,-5.2
CHEMBL1080312_size_20_002,Inactive,-2.9
CHEMBL1080349_size_20_001,Inactive,-5.2
CHEMBL1080349_size_20_002,Inactive,-5.2
CHEMBL1080355_size_20_001,Inactive,-5
CHEMBL1080356_size_20_001,Inactive,-4.4
CHEMBL1080356_size_20_002,Inactive,-3.8
CHEMBL1080363_size_20_001,Inactive,-6.8
CHEMBL1080363_size_20_002,Inactive,-3.9
CHEMBL1080366_size_20_001,Inactive,-5.1
CHEMBL1080368_size_20_001,Inactive,-5.6
CHEMBL1080369_size_20_001,Inactive,-6.3
CHEMBL1080369_size_20_002,Inactive,-5.6
CHEMBL1080469_size_20_001,Inactive,-7.7
CHEMBL1080532_size_20_001,Inactive,-8.7
CHEMBL1080533_size_20_001,Inactive,-8.1
CHEMBL1080533_size_20_002,Inactive,-5.5
CHEMBL1080534_size_20_001,Inactive,-5.6
CHEMBL1080535_size_20_001,Inactive,-5.7
CHEMBL1080540_size_20_001,Inactive,-1.7
CHEMBL1080540_size_20_002,Inactive,-1.2
CHEMBL1080708_size_20_001,Inactive,-7
CHEMBL1080708_size_20_002,Inactive,-4.9
CHEMBL1080708_size_20_003,Inactive,-4.7
CHEMBL1080708_size_20_004,Inactive,-4.4
CHEMBL1080821_size_20_001,Inactive,-3.4
CHEMBL1080873_size_20_001,Inactive,1.3
CHEMBL1081003_size_20_001,Inactive,-5
CHEMBL1081003_size_20_002,Inactive,-4.1
CHEMBL1081003_size_20_003,Inactive,-4
CHEMBL1081004_size_20_001,Inactive,-7.4
CHEMBL1081004_size_20_002,Inactive,-5.9
CHEMBL1081004_size_20_003,Inactive,-5.9
CHEMBL1081004_size_20_004,Inactive,-5.5
CHEMBL1081044_size_20_001,Inactive,-5.9
CHEMBL1081045_size_20_001,Inactive,-5.2
CHEMBL1081046_size_20_001,Inactive,-4.5
CHEMBL1081073_size_20_001,Inactive,-8.3
CHEMBL1081073_size_20_002,Inactive,-7.6
CHEMBL1081073_size_20_003,Inactive,-6.2
